DATE,ALL_COLLISIONS,INJURY_COLLISIONS,FATAL_COLLISIONS
2013-06-07,791,232,0
2013-06-08,571,150,0
2013-06-09,533,190,0
2013-06-10,624,164,1
2013-06-11,635,154,2
2013-06-12,615,172,1
2013-06-13,533,140,4
2013-06-14,693,211,0
2013-06-15,596,163,1
2013-06-16,477,158,1
2013-06-17,614,187,0
2013-06-18,613,142,0
2013-06-19,622,187,0
2013-06-20,681,177,1
2013-06-21,690,181,1
2013-06-22,598,197,0
2013-06-23,504,157,1
2013-06-24,680,173,2
2013-06-25,648,198,0
2013-06-26,620,141,1
2013-06-27,598,175,0
2013-06-28,608,165,1
2013-06-29,591,184,2
2013-06-30,423,106,0
2013-07-01,633,182,0
2013-07-02,601,139,1
2013-07-03,635,168,0
2013-07-04,437,163,0
2013-07-05,575,203,1
2013-07-06,515,158,1
2013-07-07,475,147,3
2013-07-08,616,127,0
2013-07-09,583,136,0
2013-07-10,614,148,1
2013-07-11,550,161,1
2013-07-12,599,167,0
2013-07-13,574,174,1
2013-07-14,471,146,0
2013-07-15,581,171,0
2013-07-16,582,159,0
2013-07-17,609,163,0
2013-07-18,636,169,1
2013-07-19,697,167,0
2013-07-20,551,187,1
2013-07-21,447,168,0
2013-07-22,591,191,2
2013-07-23,571,164,0
2013-07-24,571,162,0
2013-07-25,506,147,0
2013-07-26,617,182,2
2013-07-27,516,157,3
2013-07-28,485,195,2
2013-07-29,595,146,0
2013-07-30,584,160,2
2013-07-31,553,175,2
2013-08-01,643,175,2
2013-08-02,626,157,0
2013-08-03,492,167,0
2013-08-04,452,154,1
2013-08-05,544,158,0
2013-08-06,542,184,1
2013-08-07,508,101,1
2013-08-08,549,150,0
2013-08-09,579,157,1
2013-08-10,495,159,0
2013-08-11,481,152,5
2013-08-12,519,137,1
2013-08-13,552,135,0
2013-08-14,622,184,2
2013-08-15,599,166,3
2013-08-16,678,204,2
2013-08-17,504,159,2
2013-08-18,442,141,0
2013-08-19,460,134,1
2013-08-20,542,164,0
2013-08-21,562,157,1
2013-08-22,577,152,0
2013-08-23,636,171,2
2013-08-24,527,182,4
2013-08-25,459,133,1
2013-08-26,521,160,1
2013-08-27,506,127,1
2013-08-28,482,123,0
2013-08-29,572,164,1
2013-08-30,599,169,0
2013-08-31,479,169,2
2013-09-01,480,184,0
2013-09-02,431,160,0
2013-09-03,550,162,1
2013-09-04,604,198,1
2013-09-05,493,124,0
2013-09-06,524,162,1
2013-09-07,585,172,0
2013-09-08,500,182,2
2013-09-09,632,199,0
2013-09-10,629,176,0
2013-09-11,575,135,0
2013-09-12,695,186,1
2013-09-13,651,155,2
2013-09-14,519,147,2
2013-09-15,476,164,3
2013-09-16,570,127,0
2013-09-17,626,197,2
2013-09-18,571,161,0
2013-09-19,536,149,0
2013-09-20,631,191,0
2013-09-21,546,184,2
2013-09-22,585,203,1
2013-09-23,661,191,1
2013-09-24,615,184,1
2013-09-25,539,124,0
2013-09-26,516,112,2
2013-09-27,553,147,2
2013-09-28,547,172,2
2013-09-29,505,153,0
2013-09-30,605,191,0
2013-10-01,616,155,1
2013-10-02,647,190,1
2013-10-03,588,150,0
2013-10-04,658,168,2
2013-10-05,497,128,0
2013-10-06,403,124,1
2013-10-07,618,152,0
2013-10-08,574,124,1
2013-10-09,529,140,0
2013-10-10,559,138,1
2013-10-11,621,162,3
2013-10-12,556,158,0
2013-10-13,501,146,1
2013-10-14,440,141,0
2013-10-15,615,184,0
2013-10-16,548,134,0
2013-10-17,574,123,1
2013-10-18,680,192,1
2013-10-19,471,153,0
2013-10-20,490,142,2
2013-10-21,616,191,2
2013-10-22,540,152,1
2013-10-23,558,156,0
2013-10-24,632,170,0
2013-10-25,647,142,1
2013-10-26,626,236,0
2013-10-27,512,149,0
2013-10-28,620,176,2
2013-10-29,599,156,0
2013-10-30,558,155,1
2013-10-31,615,155,1
2013-11-01,710,209,0
2013-11-02,551,168,2
2013-11-03,415,138,0
2013-11-04,658,158,0
2013-11-05,510,136,2
2013-11-06,635,161,1
2013-11-07,646,151,0
2013-11-08,682,155,1
2013-11-09,571,148,3
2013-11-10,474,103,1
2013-11-11,456,114,3
2013-11-12,647,151,1
2013-11-13,592,167,1
2013-11-14,620,161,1
2013-11-15,617,182,2
2013-11-16,612,170,0
2013-11-17,532,187,0
2013-11-18,611,169,1
2013-11-19,600,155,0
2013-11-20,607,147,0
2013-11-21,628,152,0
2013-11-22,702,156,3
2013-11-23,535,185,0
2013-11-24,494,124,2
2013-11-25,710,165,1
2013-11-26,867,243,3
2013-11-27,742,214,4
2013-11-28,429,124,0
2013-11-29,436,86,1
2013-11-30,479,125,3
2013-12-01,420,115,0
2013-12-02,549,148,0
2013-12-03,553,135,2
2013-12-04,520,142,1
2013-12-05,573,157,0
2013-12-06,759,202,1
2013-12-07,567,166,1
2013-12-08,456,134,0
2013-12-09,639,144,2
2013-12-10,539,135,1
2013-12-11,605,166,0
2013-12-12,648,142,1
2013-12-13,695,161,0
2013-12-14,690,140,2
2013-12-15,450,102,0
2013-12-16,640,133,0
2013-12-17,703,144,0
2013-12-18,701,123,0
2013-12-19,606,153,0
2013-12-20,673,164,2
2013-12-21,594,168,5
2013-12-22,505,168,1
2013-12-23,707,155,1
2013-12-24,515,135,0
2013-12-25,257,80,1
2013-12-26,427,100,0
2013-12-27,476,106,1
2013-12-28,475,121,1
2013-12-29,394,107,1
2013-12-30,476,117,1
2013-12-31,464,122,1
2014-01-01,399,165,2
2014-01-02,603,121,3
2014-01-03,423,46,0
2014-01-04,418,91,0
2014-01-05,320,63,1
2014-01-06,517,111,1
2014-01-07,491,119,0
2014-01-08,616,155,0
2014-01-09,561,100,0
2014-01-10,667,191,3
2014-01-11,465,157,2
2014-01-12,388,96,1
2014-01-13,567,164,0
2014-01-14,558,186,0
2014-01-15,583,118,0
2014-01-16,521,141,0
2014-01-17,589,139,1
2014-01-18,448,130,2
2014-01-19,380,134,2
2014-01-20,360,72,1
2014-01-21,1161,168,0
2014-01-22,498,76,0
2014-01-23,611,113,0
2014-01-24,704,166,0
2014-01-25,475,110,1
2014-01-26,465,129,1
2014-01-27,511,104,0
2014-01-28,504,125,0
2014-01-29,649,167,0
2014-01-30,657,157,0
2014-01-31,560,106,2
2014-02-01,507,150,0
2014-02-02,417,114,1
2014-02-03,960,159,2
2014-02-04,612,130,0
2014-02-05,468,53,0
2014-02-06,569,92,0
2014-02-07,674,116,1
2014-02-08,424,74,0
2014-02-09,450,87,1
2014-02-10,677,143,0
2014-02-11,636,110,1
2014-02-12,640,112,1
2014-02-13,447,86,1
2014-02-14,791,115,0
2014-02-15,516,79,0
2014-02-16,464,72,0
2014-02-17,491,94,0
2014-02-18,518,111,2
2014-02-19,552,110,0
2014-02-20,556,90,1
2014-02-21,545,120,0
2014-02-22,587,140,0
2014-02-23,412,141,2
2014-02-24,568,121,0
2014-02-25,512,93,0
2014-02-26,511,114,0
2014-02-27,570,128,0
2014-02-28,655,152,0
2014-03-01,497,144,1
2014-03-02,344,74,0
2014-03-03,439,93,0
2014-03-04,530,110,1
2014-03-05,490,116,1
2014-03-06,558,122,1
2014-03-07,533,108,1
2014-03-08,515,139,0
2014-03-09,404,112,1
2014-03-10,513,147,0
2014-03-11,509,119,0
2014-03-12,515,114,0
2014-03-13,545,110,0
2014-03-14,584,135,0
2014-03-15,519,120,1
2014-03-16,412,100,1
2014-03-17,519,127,0
2014-03-18,551,121,1
2014-03-19,525,128,1
2014-03-20,627,134,0
2014-03-21,589,165,2
2014-03-22,493,124,0
2014-03-23,426,126,1
2014-03-24,545,125,1
2014-03-25,474,115,1
2014-03-26,563,130,0
2014-03-27,538,133,2
2014-03-28,530,124,1
2014-03-29,569,181,0
2014-03-30,437,125,0
2014-03-31,558,132,0
2014-04-01,549,102,0
2014-04-02,518,130,2
2014-04-03,592,125,1
2014-04-04,622,130,5
2014-04-05,579,150,1
2014-04-06,484,132,0
2014-04-07,532,156,0
2014-04-08,606,130,1
2014-04-09,595,150,1
2014-04-10,644,150,1
2014-04-11,607,136,0
2014-04-12,578,179,0
2014-04-13,482,146,0
2014-04-14,510,164,1
2014-04-15,451,117,0
2014-04-16,570,149,1
2014-04-17,508,97,1
2014-04-18,496,97,0
2014-04-19,524,150,0
2014-04-20,393,108,0
2014-04-21,520,111,1
2014-04-22,459,118,0
2014-04-23,536,117,1
2014-04-24,586,139,0
2014-04-25,617,142,0
2014-04-26,546,128,2
2014-04-27,449,164,0
2014-04-28,597,147,1
2014-04-29,555,117,0
2014-04-30,651,166,2
2014-05-01,650,171,1
2014-05-02,698,162,0
2014-05-03,590,153,1
2014-05-04,451,139,1
2014-05-05,618,159,1
2014-05-06,565,148,1
2014-05-07,603,154,0
2014-05-08,595,131,1
2014-05-09,584,123,0
2014-05-10,549,153,1
2014-05-11,584,165,2
2014-05-12,581,150,1
2014-05-13,560,128,1
2014-05-14,636,172,1
2014-05-15,659,176,0
2014-05-16,700,159,1
2014-05-17,618,142,0
2014-05-18,507,143,0
2014-05-19,572,151,3
2014-05-20,649,178,0
2014-05-21,575,117,3
2014-05-22,593,127,1
2014-05-23,660,184,1
2014-05-24,486,148,1
2014-05-25,472,147,1
2014-05-26,433,130,1
2014-05-27,645,162,1
2014-05-28,538,82,0
2014-05-29,662,185,0
2014-05-30,650,164,0
2014-05-31,587,153,1
2014-06-01,603,187,0
2014-06-02,643,164,3
2014-06-03,663,131,0
2014-06-04,582,136,1
2014-06-05,569,132,2
2014-06-06,743,196,1
2014-06-07,622,192,1
2014-06-08,515,204,0
2014-06-09,528,140,1
2014-06-10,569,123,2
2014-06-11,576,142,0
2014-06-12,561,158,0
2014-06-13,707,189,3
2014-06-14,611,134,0
2014-06-15,475,178,1
2014-06-16,622,179,0
2014-06-17,666,190,0
2014-06-18,663,150,0
2014-06-19,674,164,0
2014-06-20,765,211,2
2014-06-21,557,174,1
2014-06-22,477,144,0
2014-06-23,643,156,0
2014-06-24,632,150,0
2014-06-25,645,175,2
2014-06-26,670,195,0
2014-06-27,660,158,0
2014-06-28,610,197,1
2014-06-29,537,167,1
2014-06-30,609,164,0
2014-07-01,616,149,0
2014-07-02,658,155,3
2014-07-03,740,203,1
2014-07-04,360,118,1
2014-07-05,505,219,1
2014-07-06,450,148,1
2014-07-07,613,169,0
2014-07-08,593,140,0
2014-07-09,569,112,2
2014-07-10,584,136,1
2014-07-11,640,178,0
2014-07-12,550,137,0
2014-07-13,439,147,1
2014-07-14,561,143,3
2014-07-15,587,138,0
2014-07-16,551,137,0
2014-07-17,587,124,0
2014-07-18,624,156,2
2014-07-19,480,154,0
2014-07-20,451,125,2
2014-07-21,557,130,0
2014-07-22,587,154,0
2014-07-23,591,130,1
2014-07-24,539,148,2
2014-07-25,651,178,2
2014-07-26,534,148,0
2014-07-27,475,167,3
2014-07-28,594,151,1
2014-07-29,526,124,1
2014-07-30,605,147,0
2014-07-31,626,138,1
2014-08-01,666,167,3
2014-08-02,540,146,2
2014-08-03,476,122,0
2014-08-04,588,176,0
2014-08-05,606,174,1
2014-08-06,561,120,1
2014-08-07,585,156,0
2014-08-08,601,162,0
2014-08-09,538,152,0
2014-08-10,512,166,0
2014-08-11,604,144,0
2014-08-12,491,126,1
2014-08-13,571,155,1
2014-08-14,624,162,0
2014-08-15,522,99,1
2014-08-16,490,143,0
2014-08-17,476,154,1
2014-08-18,595,128,2
2014-08-19,516,134,0
2014-08-20,551,123,0
2014-08-21,567,147,0
2014-08-22,568,157,0
2014-08-23,454,132,0
2014-08-24,437,134,1
2014-08-25,549,129,0
2014-08-26,608,158,0
2014-08-27,538,133,1
2014-08-28,618,149,3
2014-08-29,630,155,2
2014-08-30,510,125,2
2014-08-31,495,148,0
2014-09-01,392,121,1
2014-09-02,700,144,0
2014-09-03,580,148,1
2014-09-04,727,152,2
2014-09-05,647,134,1
2014-09-06,553,138,0
2014-09-07,477,147,3
2014-09-08,597,135,0
2014-09-09,591,135,0
2014-09-10,618,157,1
2014-09-11,619,131,0
2014-09-12,728,213,4
2014-09-13,558,165,0
2014-09-14,526,155,0
2014-09-15,609,143,0
2014-09-16,613,153,1
2014-09-17,658,158,1
2014-09-18,649,177,3
2014-09-19,646,143,0
2014-09-20,594,159,0
2014-09-21,515,166,1
2014-09-22,661,176,1
2014-09-23,592,135,2
2014-09-24,565,106,0
2014-09-25,490,108,2
2014-09-26,643,175,0
2014-09-27,600,175,0
2014-09-28,512,144,3
2014-09-29,565,123,0
2014-09-30,589,147,1
2014-10-01,559,133,1
2014-10-02,558,115,0
2014-10-03,719,230,1
2014-10-04,531,157,0
2014-10-05,505,150,0
2014-10-06,639,152,1
2014-10-07,619,183,1
2014-10-08,639,150,1
2014-10-09,499,121,0
2014-10-10,541,130,1
2014-10-11,546,181,0
2014-10-12,473,161,1
2014-10-13,450,137,0
2014-10-14,694,177,1
2014-10-15,575,143,0
2014-10-16,602,175,0
2014-10-17,648,162,3
2014-10-18,493,163,0
2014-10-19,483,160,0
2014-10-20,591,136,1
2014-10-21,607,132,0
2014-10-22,708,191,0
2014-10-23,639,151,1
2014-10-24,669,156,1
2014-10-25,515,139,0
2014-10-26,514,134,2
2014-10-27,642,184,0
2014-10-28,571,114,0
2014-10-29,554,143,2
2014-10-30,626,116,2
2014-10-31,668,142,0
2014-11-01,656,202,1
2014-11-02,532,136,0
2014-11-03,625,157,3
2014-11-04,538,127,2
2014-11-05,554,150,1
2014-11-06,652,153,1
2014-11-07,641,171,0
2014-11-08,543,132,2
2014-11-09,419,101,1
2014-11-10,559,136,0
2014-11-11,493,123,0
2014-11-12,546,161,1
2014-11-13,696,158,3
2014-11-14,651,164,0
2014-11-15,529,142,1
2014-11-16,429,114,0
2014-11-17,666,167,1
2014-11-18,711,149,0
2014-11-19,633,141,1
2014-11-20,634,113,2
2014-11-21,676,162,0
2014-11-22,511,170,0
2014-11-23,425,129,0
2014-11-24,722,155,3
2014-11-25,599,125,1
2014-11-26,742,185,0
2014-11-27,378,127,0
2014-11-28,444,117,0
2014-11-29,394,93,1
2014-11-30,377,81,1
2014-12-01,644,144,0
2014-12-02,611,135,1
2014-12-03,569,128,1
2014-12-04,606,161,0
2014-12-05,671,182,1
2014-12-06,628,165,0
2014-12-07,492,135,1
2014-12-08,577,114,0
2014-12-09,645,154,1
2014-12-10,649,165,0
2014-12-11,668,151,0
2014-12-12,687,148,0
2014-12-13,594,138,1
2014-12-14,436,130,1
2014-12-15,720,166,0
2014-12-16,645,170,1
2014-12-17,554,138,1
2014-12-18,620,121,0
2014-12-19,652,157,0
2014-12-20,505,113,0
2014-12-21,409,87,0
2014-12-22,566,110,1
2014-12-23,732,172,1
2014-12-24,518,139,0
2014-12-25,303,92,0
2014-12-26,446,86,0
2014-12-27,405,126,0
2014-12-28,349,113,0
2014-12-29,411,104,1
2014-12-30,468,86,0
2014-12-31,460,95,1
2015-01-01,393,129,1
2015-01-02,440,93,0
2015-01-03,450,134,1
2015-01-04,377,108,1
2015-01-05,496,144,2
2015-01-06,773,142,0
2015-01-07,537,151,0
2015-01-08,569,117,0
2015-01-09,748,153,2
2015-01-10,480,110,0
2015-01-11,339,66,0
2015-01-12,578,156,0
2015-01-13,612,139,1
2015-01-14,503,110,1
2015-01-15,545,121,0
2015-01-16,562,114,1
2015-01-17,495,110,1
2015-01-18,958,227,0
2015-01-19,494,102,1
2015-01-20,496,91,0
2015-01-21,494,80,0
2015-01-22,505,97,0
2015-01-23,595,117,2
2015-01-24,428,66,0
2015-01-25,405,107,0
2015-01-26,483,80,0
2015-01-27,187,21,0
2015-01-28,458,89,0
2015-01-29,519,90,1
2015-01-30,622,101,0
2015-01-31,524,97,1
2015-02-01,361,65,0
2015-02-02,680,122,0
2015-02-03,738,140,1
2015-02-04,584,123,1
2015-02-05,569,98,0
2015-02-06,652,98,0
2015-02-07,448,116,0
2015-02-08,394,85,0
2015-02-09,547,111,2
2015-02-10,569,114,0
2015-02-11,610,131,1
2015-02-12,525,109,0
2015-02-13,754,147,0
2015-02-14,436,69,0
2015-02-15,453,87,0
2015-02-16,402,74,0
2015-02-17,619,109,1
2015-02-18,626,123,1
2015-02-19,514,78,1
2015-02-20,619,114,3
2015-02-21,513,93,0
2015-02-22,518,117,1
2015-02-23,571,92,1
2015-02-24,577,106,0
2015-02-25,626,138,0
2015-02-26,539,92,1
2015-02-27,701,120,2
2015-02-28,538,130,0
2015-03-01,692,134,1
2015-03-02,648,125,1
2015-03-03,630,94,0
2015-03-04,572,78,0
2015-03-05,829,90,0
2015-03-06,934,142,0
2015-03-07,577,106,1
2015-03-08,464,115,0
2015-03-09,661,155,1
2015-03-10,583,144,0
2015-03-11,565,132,0
2015-03-12,585,111,0
2015-03-13,607,158,0
2015-03-14,507,137,0
2015-03-15,454,94,0
2015-03-16,528,99,1
2015-03-17,528,106,1
2015-03-18,547,113,1
2015-03-19,579,110,0
2015-03-20,569,153,4
2015-03-21,506,117,0
2015-03-22,432,125,0
2015-03-23,585,100,0
2015-03-24,599,118,1
2015-03-25,537,154,1
2015-03-26,524,132,0
2015-03-27,530,84,0
2015-03-28,457,89,0
2015-03-29,505,102,0
2015-03-30,554,137,0
2015-03-31,626,117,0
2015-04-01,645,138,3
2015-04-02,652,130,2
2015-04-03,490,109,0
2015-04-04,505,135,0
2015-04-05,418,126,3
2015-04-06,508,110,0
2015-04-07,446,105,0
2015-04-08,457,82,0
2015-04-09,449,87,1
2015-04-10,491,129,0
2015-04-11,573,127,0
2015-04-12,434,110,1
2015-04-13,554,126,0
2015-04-14,534,115,0
2015-04-15,586,143,2
2015-04-16,549,114,0
2015-04-17,655,163,0
2015-04-18,580,179,1
2015-04-19,446,126,0
